lon,lat,NOME,ENDERECO,TOTAL,ANALFABETO,FUND.INCO,FUND,MEDIO.INC,MEDIO,SUP.INC,SUP,A.SUP,NCONST
-47.31797,-22.703794,AmericanaCDPAEVPRenatoGonçalvesRodrigues,AMERICANA,1503,32,745,177,353,187,8,1,0,0
-49.106224,-22.289304,BauruCDP,BAURU,1418,13,618,266,317,191,9,4,0,0
-51.978244,-21.855213,CaiuaCDPTacioAparecidoSantana,CAIUA,1271,21,633,134,295,139,9,2,0,38
-47.15862,-22.875399,CampinasCDP,CAMPINAS,1903,36,916,261,368,203,10,9,0,100
-47.763051,-23.553334,CapeladoAltoCDP,CAPELA DO ALTO,1317,19,667,112,317,188,8,5,0,1
-45.499264,-23.7117,CaraguatatubaCDPDr.JoseEduardoMarizdeOliveira,CARAGUATATUBA,1303,66,584,391,130,104,26,1,0,1
-49.130884,-23.052557,CerqueiraCesarCDP,CERQUEIRA CESAR,1206,11,617,147,272,143,12,4,0,0
-46.610055,-23.691095,DiademaCDP,DIADEMA,1571,32,736,146,465,185,7,0,0,0
-47.40895077,-20.46835247,FrancaCDP,FRANCA,1086,9,527,113,278,142,11,4,0,2
-46.489613,-23.465602,GuarulhosCDPIASPGiovaniMartinsRodrigues,GUARULHOS,2539,29,1117,274,742,290,21,1,0,65
-46.488393,-23.46326,GuarulhosCDPII,GUARULHOS,2688,25,1161,866,351,255,19,11,0,0
-47.159838,-22.876741,HortolandiaCDP,HORTOLANDIA,2082,48,1041,197,485,278,28,5,0,0
-46.889467,-23.719597,ItapecericadaSerraCDPASPNiltonCelestino+APP,ITAPECERICA DA SERRA,2448,26,1317,282,504,292,22,5,0,0
-46.857526,-23.277146,JundiaiCDP,JUNDIAI,1540,34,715,293,265,212,16,5,0,0
-46.479692,-23.698088,MauaCDP,MAUA,1461,15,294,822,133,193,2,2,0,0
-46.244008,-23.42744,MogidasCruzesCDP,MOGI DAS CRUZES,1817,25,932,229,392,208,22,2,0,7
-46.81036,-23.596668,OsascoCDPIASPEdersonVieiradeJesus,OSASCO,1161,6,70,992,0,86,0,1,0,6
-46.8093,-23.597179,OsascoCDPIIASPVandaRitaBritodoRego,OSASCO,1216,10,79,974,52,101,0,0,0,0
-46.745502,-23.534037,SaoPauloCDPIASPVicenteLuzandaSilvadePinheiros,SAO PAULO,1421,46,273,575,337,122,1,0,0,67
-46.745751,-23.533185,SaoPauloCDPIIASPWilliansNogueiraBenjamindePinheiros,SAO PAULO,1493,57,357,379,431,269,0,0,0,0
-46.746995,-23.532064,SaoPauloCDPIIIdePinheiros,SAO PAULO,1658,85,445,234,431,386,48,29,0,0
-46.74629,-23.532499,SaoPauloCDPIVdePinheiros,SAO PAULO,1488,14,564,401,176,265,27,11,0,30
-47.611002,-22.699087,PiracicabaCDPNelsonFurlan+APP,PIRACICABA,1720,102,793,241,343,230,8,3,0,0
-48.089164,-21.081387,PontalCDP,PONTAL,1106,26,641,138,213,78,6,4,0,0
-46.510035,-24.009976,PraiaGrandeCDPASPCharlesDemitreTeixeira,PRAIA GRANDE,1202,26,724,183,148,109,11,1,0,0
-47.682976,-21.206848,RibeiraoPretoCDP,RIBEIRAO PRETO,876,11,433,95,226,90,10,4,0,7
-49.702675,-19.982419,RiolandiaCDPASPValdecirFabiano,RIOLANDIA,1074,18,486,111,280,153,16,5,0,5
-46.550837,-23.654105,SantoAndreCDP,SANTO ANDRE,1735,2,630,444,350,299,0,0,0,10
-46.604967,-23.727912,SaoBernardodoCampoCDPDr.CalixtoAntonio,SAO BERNARDO DO CAMPO,2420,13,377,1479,156,333,6,5,0,51
-49.338772,-20.687197,SaoJosedoRioPretoCDP,SAO JOSE DO RIO PRETO,1544,36,648,230,391,205,23,11,0,0
-45.819144,-23.260499,SaoJosedosCamposCDP,SAO JOSE DOS CAMPOS,1329,11,639,113,372,181,8,2,0,3
-46.471789,-23.963182,SaoVicenteCDPLuisCesarLacerda,SAO VICENTE,2008,59,764,532,514,95,0,0,0,44
-47.534532,-21.242382,SerraAzulCDP,SERRA AZUL,1036,23,498,132,242,113,6,5,0,17
-47.359775,-23.434909,SorocabaCDP,SOROCABA,1585,29,643,269,356,267,15,6,0,0
-48.399536,-21.104776,TaiuvaCDP,SUZANO,1869,25,868,225,493,247,8,3,0,0
-45.522323,-22.988802,TaubateCDPDr.FelixNobredeCampos,TAIUVA,920,16,417,162,192,131,2,0,0,0
-46.314208,-23.521229,SuzanoCDP,TAUBATE,1302,58,617,156,341,105,10,14,1,0
-46.591077,-23.589546,SaoPauloCDPVilaIndependência,SAO PAULO,2491,2,1720,275,261,230,0,0,0,3
-46.5876,-23.531608,SaoPauloCDPIdeChacaraBelem+APP,SAO PAULO,2525,0,1265,457,466,304,23,10,0,0
-46.58786,-23.530816,SaoPauloCDPIIASPPauloGilbertodeAraUjodeChacaraBelem+APP,SAO PAULO,2868,78,781,1254,199,521,20,15,0,0
-46.685246,-23.335736,FrancodaRochaCDPFeminino,FRANCO DA ROCHA,1237,8,152,679,73,276,10,13,0,26
-46.591077,-23.589546,SaoPauloCDPVilaIndependência,SAO PAULO,1237,57,571,52,395,148,11,3,0,0
