NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
CIDADE UNIVERSITÁRIA,-23.5589626,-46.7253949,USP,www.reitoria.usp.br,11 3091-3500,R. da Reitoria - 374 - 05508-220 - Butantã,red
FACULDADE DE DIREITO,-23.549848,-46.6368084,USP,www.direito.usp.br,11 3111-4000,Largo São Francisco - 95 - 01005-010 - Centro,red
FACULDADE DE MEDICINA,-23.555070800000003,-46.6718166,USP,www.imt.usp.br,11 3061-7011,Av. Dr. Enéas Carvalho de Aguiar - 470 - 05403-000 - Jardim America,red
LESTE,-23.4821149,-46.499553799999994,USP,www.uspleste.usp.br/,11 3091-1024,Rua Arlindo Béttio - 1000 - 03828-000 - Vila Guaraciaba,red
BAURU,-22.3347616,-49.0583524,USP,www.bauru.usp.br,14 3235-8000,Alameda Dr. Octávio Pinheiro Brisolla - 9-75 - 17012-901 - Vila Universitária,red
LORENA I,-22.6973221,-45.11875,USP,site.eel.usp.br,12 3159-5000,Estrada Municipal do Campinho - s/n - 12602-810 - Estr. Estadual,red
LORENA II,-22.767349499999998,-45.101525200000005,USP,site.eel.usp.br,12 3159-9900,Pólo-Urbo Industrial - s/nº - 12602-810 - Gleba AI-6,red
PIRACICABA,-22.7151455,-47.6291783,USP,www.pusplq.usp.br/,19 3429-4380,Avenida Pádua Dias - 11 - 13418-260 - Agronomia,red
PIRASSUNUNGA,-21.9590415,-47.467296000000005,USP,www.usp.br/pcaps,19 3565-4000,Av. Duque de Caxias Norte - 225 - 13635-900 - Caixa Postal 23,red
RIBEIRÃO PRETO,-21.172511399999998,-47.846015,USP,www.ribeirao.usp.br,16 3315-3500,"Rua Monte Alegre - 3900 - 14040-900 - Campus da Usp, Ribeirão Preto",red
SÃO CARLOS I,-22.0033158,-47.8984067,USP,www.saocarlos.usp.br,16 3373-9997,Av. Trab. São Carlense - 400 - 13566-590 - Parque Arnold Schimidt,red
SÃO CARLOS II,-22.0048915,-47.9305012,USP,www.ifsc.usp.br,16 3373-9840,Avenida João Dagnone - 1100 - 13563-120 - Jardim Santa Angelina,red
BAIXADA SANTISTA,-23.947169,-46.3193528,UNIFESP,www.unifesp.br,13 3229-0100,R. Silva Jardim - 136 - 11015-021 - Vila Matias,red
JOSÉ DE FILIPPI - DIADEMA,-23.719322100000003,-46.6278675,UNIFESP,www.unifesp.br,11 4044-0500,R. Prof. Artur Riedel - 275 - 09972-270 - Jd. Eldorado,red
GUARULHOS,-23.439633800000003,-46.40414439999999,UNIFESP,www.unifesp.br,11 5576-4848,Estr. do Caminho Velho - 333 - 07252-312 - Jardim Nova Cidade,red
OSASCO,-23.537748,-46.7888751,UNIFESP,www.unifesp.br,11 2284-6900,R. Angélica - 100 - 06132-380 - Jd. das Flores,red
PARQUE TECNOLÓGICO,-23.1634294,-45.7945018,UNIFESP,www.unifesp.br,11 5576-4848,Av. Cesare Monsueto Giulio Lattes - 1211 - 12231-280 - Jardim Santa Ines I,red
ESCOLA PAULISTA DE MEDICINA - SÃO PAULO,-23.5977115,-46.6433247,UNIFESP,www.epm.br,11 5579-6700,"R. Botucatu - 720 - 04023-062 - Vila Clementino,",red
ZONA LESTE,-23.524800600000003,-46.457142600000005,UNIFESP,https://www.unifesp.br,11 5579-6700,"Avenida Jacu-Pêssego - 2630 - 08260-005 - Vila Jacui,",red
TALIM,-23.2156517,-45.8870152,UNIFESP,www.unifesp.br,11 5576-4848,R. Talim - 330 - 04021-001 - Vila Nair,red
CACHOEIRA,-22.377837,-46.898081,Faculdade Franco Montoro,www.fmpfm.edu.br,19 3861-6225,Rua dos Estudantes - s/n - 13840-000 - Cachoeira de Cima,red
CLÍNICA ESCOLA,-22.3709277,-46.9416109,Faculdade Franco Montoro,fmpfm.edu.br,19 3818-1396,R. Nicolau Falsetti - 55 - 13840-052 - Centro,red
FEG,-22.3789427,-46.8976027,Faculdade Franco Montoro,fmpfm.edu.br,19 3861-6606,R. Mun. Cachoeira de Cima - 21 - 13840-000 - Centro,red
FUNVIC,-21.4884711,-47.0098839,Faculdades da Fundação de Ensino de Mococa,www.fafem.com.br,19 3656-5516,Av. Monsenhor Demóstenes Pontes - 2131 - 13736-260 - Jd. São José,red
FREA,-23.0978582,-48.9259903,FACULDADES INTEGRADAS REGIONAIS DE AVARÉ,www.frea.edu.br,14 3711-1828,Praça Pref. Romeu Bretas - 163 - 18700-090 - Centro,red
FEMA,-22.6439502,-50.4209941,Fundação Educacional do Município de Assis,www.fema.edu.br,18 3302-1055,Avenida Getúlio Vargas - 1200 - 19807-130 - Vila Nova Santana,red
IMESB,-20.938473000000002,-48.50237,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI,www.imesb.br,17 3345-9366,R. Nelson Domingos Madeira - 300 - 14706-124 - Parque Eldorado,red
IMESSM,-22.7315348,-48.6109485,Instituto Municipal de Ensino Superior de São Manuel,www.imessm.edu.br,14 3841-3766,R. Quintino Bocaiúva - s/n - 18655-000 - Aparecida de São Manuel,red
BARCELONA,-23.625038,-46.548389,Universidade Municipal de São Caetano do Sul,www.uscs.edu.br,11 4239-3200,Av. Goiás - 3400 - 09550-051 - Barcelona,red
USCS - CENTRO,-23.609318899999998,-46.573601000000004,Universidade Municipal de São Caetano do Sul,www.uscs.edu.br,11 4239-3200,R. Santo Antonio - 50 - 09521-160 - Centro,red
USCS - CONCEIÇÃO,-23.6178928,-46.578924799999996,Universidade Municipal de São Caetano do Sul,www.uscs.edu.br,11 4228-5346,R. Conceição - 321 - 09530-060 - Santo Antônio,red
USCS - LATO SENSU,-23.6150204,-46.5728179,Universidade Municipal de São Caetano do Sul,www.posuscs.com.br,11 4226-7215,R. Manoel Coelho - 600 - 09510-101 - Centro,red
FCL,-21.813503100000002,-48.2001808,UNESP,www.fclar.unesp.br,16 3334-6100,Rod. Araraquara-Jaú Km 1 - s/n - 14800-901 - Machados,red
USCS - BELA VISTA,-23.5591717,-46.646281099999996,Universidade Municipal de São Caetano do Sul,www.uscs.edu.br,11 4226-7215,R. Treze de Maio - 681 - 01327-000 - Bela Vista,red
USCS - FARMÁCIA-ESCOLA,-23.609318899999998,-46.573601000000004,Universidade Municipal de São Caetano do Sul,www.uscs.edu.br,11 4239-3200,R. Santo Antonio - 50 - 09521-160 - Centro,red
UNIFAE,-21.9648944,-46.7915537,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO,www.fae.br,19 3638-0240,Largo Engenheiro Paulo de Almeida Sandeville - 15 - 13870-377 - Jardim Santo Andre,red
EPP,-22.6990789,-47.6511511,Escola de Engenharia de Piracicaba -,www.fumep.edu.br,19 3412-1100,Av. Monsenhor Martinho Salgot - 560 A - 3414-040 - Areião,red
ESEF,-23.1937908,-46.8955573,Escola Superior de Educação Física de Jundiaí,esef.br,11 4805-7955,R. Rodrigo Soares de Oliveira - 1 - 13208-120 - Anhangabaú,red
FITO,-23.5375427,-46.790809,Fundação Instituto Tecnológico de Osasco,www.fito.edu.br,11 3652-3035,"R. Camélia, - 26 - 06110-300 - Jardim das Flores",red
FAESB,-22.945799899999997,-46.527113,Faculdade de Ciencias e Letras de Braganca Paulista,www.fesb.br,12910-690,Alameda Quinze de Dezembro - 465 - 12910-690 - Matadouro,red
FATEB,-21.286745899999996,-50.339394399999996,Faculdade de Ciências e Tecnologia de Birigui,www.fateb.br,18 3649-2200,R. Antônio Simões - 4 - 16200-000 - Centro,red
FDSBC,-23.6888792,-46.557754100000004,Faculdade de Direito de São Bernardo do Campo,www.direitosbc.br,11 3927-0222,R. Java - 425 - 09750-650 - Jardim do Mar,red
FEUC,-21.600166899999998,-46.8930253,"Faculdade de Filosofia, Ciências e Letras de São José do Rio Pardo",www.feucriopardo.edu.br,19 3608-4704,R. Jorge Tibiriçá - 451 - 13720-000 - Centro,red
FAIBI,-21.752708,-48.8329,Faculdade de Ibitinga,www.faibi.com.br,16 3352-9130,R. Roque Raineri - 81 - 14940-000 - Jd. Centenário,red
FMJ,-23.200405800000002,-46.8772962,Faculdade de Medicina de Jundiaí,fmj.br,11 3395-2100,R. Francisco Teles - 250 - 13202-550 - Vila Arens II,red
UNICAMP,-22.8184393,-47.0647206,Unicamp,www.unicamp.br,19 3521-7000,Cidade Universitária Zeferino Vaz - s/n - 13083-970 - Cidade Universitária,red
FOA,-21.2088815,-50.4289197,UNESP,www.foa.unesp.br,18 3636-3200,"R. José Bonifácio - 1193 - 16015-050 - Vila Mendonca,",red
FMV,-21.186787600000002,-50.439136299999994,UNESP,www.fmva.unesp.br,18 3636-1400,R. Clóvis Pestana - 793 - 16050-680 - Dona Amelia,red
FCLA,-22.649046300000002,-50.435830200000005,UNESP,www.assis.unesp.br,18 3302-5800,Av. Dom Antônio - 2100 - 19806-900 - Parque Universitario,red
BAURU,-22.3495359,-49.0314016,UNESP,www.bauru.unesp.br,14 3103-6000,"Av. Eng. Luís Edmundo Carrijo Coube - 14-01 - 17033-360 - Nucleo Res. Pres. Geisel,",red
FMB,-22.8911069,-48.4943054,UNESP,www.fmb.unesp.br,14 3880-1001,Av. Prof. Montenegro - s/n - 18618-687 - Distrito de Botucatu,red
FCAT,-21.462165,-51.554753000000005,UNESP,www.dracena.unesp.br,18 3821-8200,Rod. Cmte João Ribeiro de Barros - km 651 - 17900-000 - Bairro das Antas,red
FRANCA,-20.5113393,-47.3863658,UNESP,www.franca.unesp.br,55 16 3706-8700,"Av. Eufrásia Monteiro Petráglia - 900 - 14409-160 - Jardim Dr. Antonio Petraglia, Franca",red
GUARATINGUETÁ,-22.803458,-45.191474299999996,UNESP,www2.feg.unesp.br,12 3123-2800,Av. Dr. Ariberto Pereira da Cunha - 333 - 12516-410 - Portal das Colinas,red
ILHA SOLTEIRA,-20.430082100000003,-51.3390972,UNESP,www.unesp.br,18 3743-1158,Alameda Bahia - 550 - 15385-000 - centro,red
ITAPEVA,-23.981165,-48.883243,UNESP,www.itapeva.unesp.br,15 3524-9100,Rua Geraldo Alckmin - 519 - 18409-010 - Vila Nossa Sra. de Fatima,red
FCAV,-21.243999399999996,-48.2930851,UNESP,www.fcav.unesp.br,16 3209-7100,Via de Acesso Prof. Paulo Donato Castelane - s/n - 14884-900 - Jaboticabal,red
CPL,-23.971158499999998,-46.3946092,UNESP,www.clp.unesp.br,13 3569-7100,Praça Infante Dom Henrique - s/n - 11330-900 - Parque Bitaru,red
